cbc.no,year,mamu.count,mamu.count.pph,observer.count,est.party.hours,std.mamu.count
25,1924,16,0,12,65.0654,0.245906426
31,1930,27,0,15,68.1965,0.395914746
32,1931,24,0,13,66.1091,0.363036254
33,1932,8,0,34,88.0268,0.090881413
35,1934,18,0,20,73.415,0.245181502
36,1935,36,0,32,85.9394,0.418899829
38,1937,2,0,15,68.1965,0.029327018
39,1938,2,0.027,21,74.4587,0.026860528
41,1940,8,0.1264,20,73.415,0.108969557
42,1941,2,0.0308,21,74.4587,0.026860528
53,1952,4,0.0452,50,104.726,0.038194909
54,1953,3,0,39,93.2453,0.032173203
56,1955,2,0.0278,37,91.1579,0.021939953
57,1956,33,0.3235,40,94.289,0.349987803
60,1959,1,0,28,81.7646,0.012230232
61,1960,1,0.0108,42,96.3764,0.010375984
62,1961,3,0.0297,48,102.6386,0.02922877
64,1963,6,0.0811,33,86.9831,0.068978917
65,1964,1,0.0125,43,97.4201,0.010264822
66,1965,8,0.0909,40,94.289,0.084845528
67,1966,10,0.1099,45,99.5075,0.100494938
68,1967,2,0.0263,37,91.1579,0.021939953
70,1969,27,0.3176,30,83.852,0.321995898
71,1970,9,0.0978,35,89.0705,0.101043555
73,1972,14,0.1069,65,120.3815,0.116296939
74,1973,13,0.0844,80,136.037,0.095562237
75,1974,3,0.0208,94,150.6488,0.019913866
76,1975,20,0.119,95,151.6925,0.131845675
77,1976,6,0.0326,100,156.911,0.038238237
78,1977,1,0.0058,91,147.5177,0.006778848
79,1978,4,0.032,75,130.8185,0.030576715
80,1979,3,0.0246,73,128.7311,0.023304392
81,1980,7,0.0526,83,139.1681,0.050298883
84,1983,3,0.0201,110,167.348,0.017926716
87,1986,1,0.0064,75,130.8185,0.007644179
88,1987,2,0.0137,90,146.474,0.0136543
90,1989,12,0.0816,87,143.3429,0.083715343
92,1991,3,0.0217,74,129.7748,0.023116969
95,1994,2,0.012,85,141.2555,0.014158741
96,1995,0,0,87,143.3429,0
100,1999,1,0.0057,87,143.3429,0.006976279
103,2002,2,0.0091,163,222.6641,0.008982139
107,2006,4,0.0133,178,238.3196,0.016784184
108,2007,3,0.0141,203,264.4121,0.011345926
110,2009,3,0.0098,183,243.5381,0.012318401
112,2011,3,0.015,181,241.4507,0.012424897
113,2012,4,0.0227,182,242.4944,0.016495226
115,2014,0,0,196,257.1062,0
116,2015,2,0.0078,197,258.1499,0.007747437
122,2021,0,0,162,221.6204,0
123,2022,0,0,230,292.592,0
124,2023,0,0,250,313.466,0
125,2024,0,0,224,286.3298,0
